pathway,pval,padj,log2err,ES,NES,size,leadingEdge
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_7DY_UP,1.96136792773027e-05,0.0230719189424626,0.575610261071129,0.961138188366946,1.61188949765457,31,TMSB4X|NME2
SALVADOR_MARTIN_PEDIATRIC_TBD_ANTI_TNF_THERAPY_NONRESPONDER_PRE_TREATMENT_UP,2.14911271457424e-05,0.0230719189424626,0.575610261071129,0.973981527580322,1.61060116190531,24,MT-ATP6|MT-CO3|MT-CYB|MT-ND4L|MT-ND2|MT-ND1|IFITM3
LEIN_LOCALIZED_TO_DISTAL_AND_PROXIMAL_DENDRITES,3.30310657033838e-05,0.0265955130688412,0.557332238758646,0.979928529609466,1.59727796770074,18,MT-ATP6
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,3.23909557700386e-05,0.0265955130688412,0.557332238758646,0.881813701339993,1.53869957234958,98,MT-ATP6|MT-ND4|MT-CO3|MT-CO2|MT-CYB|MT-ND4L|MT-ND2|MT-ND3|MT-ND1|UQCRC1|NDUFB9|MT-ND6|NDUFAB1|NDUFV1|NDUFA4|MT-ND5|ATP5MG|COX6A1|NDUFC2|ATP5MC2|ATP5PD|ATP5F1B|COX4I1|COX6C|ATP5F1D|NDUFB10|UQCR10|NDUFS1|ATP5MC3|UQCRB|ATP5F1E|ATP5PB|NDUFB5|NDUFA1|NDUFS5|NDUFB7|UQCR11|COX7A2|NDUFB1|NDUFS6|UQCRQ|ATP5MC1|SDHB|ATP5MF
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,2.76411432363381e-05,0.0265955130688412,0.575610261071129,0.865132582229303,1.52073017221779,122,MT-ATP6|MT-ND4|MT-CO3|MT-CO2|MT-CYB|MT-ND2|MT-ND3|MT-ND1|UQCRC1|CYC1|NDUFB9|LRPPRC|MT-ND6|NDUFAB1|NDUFV1|NDUFA4|MT-ND5|ATP5MG|COX6A1|TRAP1|NDUFC2|ATP5MC2|ATP5PD|ATP5F1B|COX4I1|NDUFB11|COX6C|ATP5F1D|NDUFB10|UQCR10|NDUFS1|ATP5MC3|UQCRB|ATP5F1E|ETFB|COX14|ATP5PB|ETFA|NDUFB5|NDUFA1|NDUFS5|NDUFB7|NDUFAF3|COX16|UQCR11|NDUFB1|NDUFS6|TIMMDC1|UQCRQ|ATP5MC1|SDHB|ATP5MF
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.85868104588958e-06,0.00598619208846172,0.643551836150722,0.851022085435505,1.50801679070324,172,MT-ATP6|MT-ND4|MT-CO3|MT-CO2|MT-CYB|MT-ND2|MT-ND3|MT-ND1|UQCRC1|PDHA1|CYC1|IDH2|NDUFB9|LRPPRC|MT-ND6|NDUFAB1|NDUFV1|LDHB|NDUFA4|MT-ND5|ATP5MG|BSG|COX6A1|TRAP1|NDUFC2|ATP5MC2|ATP5PD|ATP5F1B|SLC16A1|COX4I1|NDUFB11|COX6C|SUCLG2|ATP5F1D|IDH3B|VDAC1|NDUFB10|UQCR10|NDUFS1|ME1|ATP5MC3|PDHB|UQCRB|ATP5F1E|ETFB|COX14|GLO1|ATP5PB|ETFA|NDUFB5|NDUFA1|NDUFS5|NDUFB7|NDUFAF3|MDH2|SUCLG1|COX16|UQCR11|NDUFB1|NDUFS6|TIMMDC1|UQCRQ|ATP5MC1|SDHB|ATP5MF
REACTOME_KERATINIZATION,1.69966618701567e-05,0.0230719189424626,0.575610261071129,0.827774881653513,1.47336914017008,196,KRT8|ST14|JUP|PI3|KRT23|PKP3|CAPN1|PRSS8|CAPNS1|DSG2|EVPL
HALLMARK_MYC_TARGETS_V1,8.2526765704502e-05,0.0469043300139352,0.538434096309916,0.827214612020295,1.46636483441545,163,MYC|HNRNPA2B1|HSP90AB1|EEF1B2|MCM4|HSPE1|HNRNPA3|PSMA7|CYC1|EIF3B|HSPD1|MCM7|VDAC3|YWHAE|HDGF|EIF4A1|SRPK1|NDUFAB1|TUFM|CNBP|SRSF3|SERBP1|SRSF2|NCBP2|SMARCC1|CBX3|FBL|NOP16|NHP2|MCM2|NME1|EIF3J|ODC1|HDAC2|PSMD3|FAM120A|RNPS1|ILF2|EIF4H|DHX15|APEX1|PA2G4|EIF2S1|CDK4|HNRNPD|GNL3|PRDX4|NOP56|POLD2|VDAC1|SF3B3|LSM7|SRM|DEK|USP1|PRPS2|SET|HNRNPU|GOT2|DDX21|RAD23B|PSMA4|YWHAQ|GLO1|DDX18|PSMA2|RACK1|EIF3D|IMPDH2|SNRPB2|PCNA|POLE3|TOMM70|RSL1D1|HPRT1|COPS5|TCP1|VBP1|TYMS|PPIA|HNRNPC|SNRPG|C1QBP|CCT3|UBA2|PSMB2|PSMC4|MCM5|AIMP2|KPNB1|SNRPA|XPOT|CCT2|SNRPD2|GSPT1|PPM1G|MCM6|EXOSC7|PSMD7|SF3A1|RRP9|TRA2B|RRM1|ERH|PWP1|LSM2|XRCC6|EIF4E|KPNA2|CTPS1|CDC20|ACP1|EIF4G2|CCT4|PRPF31|ORC2
BENPORATH_MYC_TARGETS_WITH_EBOX,1.89631753414725e-05,0.0230719189424626,0.575610261071129,0.817239189891883,1.45551593602069,199,CEACAM5|ACTB|SYNGR2|HSPA8|ACTG1|HSP90AA1|HNRNPA2B1|GSTP1|HSP90AB1|MCM4|JUN|FASN|UBA52|TFRC|PDHA1|HSPD1|PSMB1|MCM7|ZFP36L2|EIF4A1|LBR|JUNB|IFRD2|ETS2|DKC1|LMNA|TOP1|RBM3|BSG|NME1|ENO1|DBI|ALDH2|MUC1|NCL|AKAP1|APEX1|SQSTM1|CDK4|POLD2|ACOX1|SRM|BCL3|AMD1|ARF1|HSD11B2|CFDP1|MGST1|ASCL2|ZNF146|BAX|PLK1|ATF4|CCND1|LMNB2|E2F1|TOMM20|SIGMAR1|CSTB|HMBS|PSMA3|VHL|HNRNPDL|STAT6|GOLGA7|NBN|EBP|SLBP
WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP,5.74846444023418e-05,0.0396726167296733,0.557332238758646,0.791380802305099,1.41162239056227,254,MT-ATP6|ACTB|EPCAM|CD24|HSP90AA1|ST14|NQO1|GSTP1|ELF3|PPDPF|KLF5|S100A6|SRPK1|BZW2|CTBP2|SERPINB1|IFI27|DDAH1|DOK4|TOP1|MLLT6|FAM83H|UBE2V1|TSPAN8|C19orf33|FXYD3|TM9SF3|STARD10|COX6A1|ABHD17C|ESRP1|DBI|EHF|MUC1|RAB2A|PREP|GMDS|MPST|SMARCA4|LSM7|RRBP1|IER3|RALY|LLGL2|CANT1|ARPC5L|RABL6|ETFB|TALDO1|CHPT1|MROH1|EIF4G1|SCAMP2|TC2N|TMC5|SFN|RAB25|PLPP2|KDELR2|GFPT1|BSPRY|ACY1|JTB|CCND1|UQCR11|COX7A2|GPR160|MGLL|BACE2|PPIA|NANS|CHMP1A|CAMK2N1|TPM4|BAG1|TRAF4|UQCRQ|ICA1|RALA|UQCC3|CLPTM1L|NOP58|TRAPPC5|EBP|INF2|RRP7A|TTLL12|ERBB3|HPGD|IMPA2|HM13|TMEM63A|ARRDC1|PLS1|ZMYND8|PSMB10|UBALD2|LMAN2|F11R|MYO6|SH3BGRL2|ABHD11|HDAC1|GSS|EPS8L2|HDLBP|TRAK1|MKNK2|SLC35A3|SART1|ESRP2|BAIAP2L1|ACAA1|DNAJA4|ZGPAT|TMEM125|CHMP4C|GALNT3|TACSTD2|FLNB|KRTCAP3|TMEM259
