"rank","carcinoma","detritus","dysplasia","stroma","unknown"
1,"LGR5","RAB13","CEACAM6","VIM","NDRG1"
2,"MME","KIF1C","S100A10","COL3A1","CKB"
3,"MT-ND3","COL3A1","CEACAM5","SPARC","ATP1B1"
4,"DAB2","VIM","MYC","COL1A1","DNTTIP1"
5,"AMACR","COL1A1","GPX2","LGALS1","VEGFA"
6,"MT-CYB","KIF5B","NQO1","COL1A2","ERO1A"
7,"TGFBR2","CENPB","PYGB","IGFBP7","MUC13"
8,"EEF1B2","NET1","CFL1","COL6A2","SLC2A1"
9,"SORBS2","RASSF3","MCM4","SRGN","TRIM31"
10,"MT-ND4","SPARC","CHCHD2","A2M","FABP1"
11,"MAOA","MMP12","PTP4A3","COL4A1","PI3"
12,"MT-ND1","COL1A2","FASN","CALD1","LCN2"
13,"MUC12","ZC3H13","GSTP1","CD74","EFNA1"
14,"FTH1","LGALS1","YWHAZ","COL5A1","PLOD2"
15,"MT-ND2","CRYBG1","MIF","TAGLN","TM4SF1"
16,"SELENOW","APCDD1","CD24","MMP2","KRT8"
17,"VAV3","NKD1","KRT8","COL6A3","ID1"
18,"ABAT","IGFBP7","EREG","COL6A1","CCL20"
19,"MT-ATP6","COL5A1","TMSB4X","COL4A2","FXYD3"
20,"SESN1","TRIM44","HSP90AA1","LYZ","HK2"
21,"GLCE","LYZ","HSPE1","C1R","PDZK1IP1"
22,"EEF1G","TRAK2","HNRNPA2B1","BST2","MUC1"
23,"GPR160","COL4A1","SYNGR2","C1S","ASS1"
24,"PRAC1","PLEKHA4","LGALS3","CTSB","LRP4"
25,"PHGR1","MYH14","ACTG1","B2M","ELF3"
26,"LBR","A2M","EIF6","IFI30","SLC11A2"
27,"MT-ND5","ANP32B","CXCL2","C1QC","PLAUR"
28,"CUL4B","EIF5B","ELF3","FSTL1","SLC16A3"
29,"ZBTB38","GOLIM4","PRDX2","LUM","SDC4"
30,"MT-CO2","SRGN","NME2","VCAN","DDIT4"
31,"SLC12A2","CD74","HIST1H1B","TIMP2","TMEM45B"
32,"FN1","C1QC","HSPA8","WIPF1","CD55"
33,"SLC22A31","DCTN1","HSP90AB1","ACTA2","TOB1"
34,"LGALS4","COL6A2","LRATD1","F3","LMO7"
35,"PDE8A","CALD1","EEF1G","MYL9","BHLHE40"
36,"IP6K2","DACH1","PRSS23","IGKC","TNFRSF21"
37,"ITGA6","PLEKHA6","MYBL2","LCP1","S100P"
38,"ST6GAL1","MAP4K4","OAZ1","LAPTM5","S100A10"
39,"PATJ","TAGLN","MT-CO2","MMP12","GPRC5A"
40,"PYGB","BMP4","H3F3A","THY1","CEACAM1"
41,"STX3","KTN1","MAL2","CTSC","NOS2"
42,"DSP","GDF11","TUBA1C","C1QA","TSPAN8"
43,"STARD10","SP5","CYC1","DCN","CXCL1"
44,"FERMT1","CDC42BPG","MT-ATP6","PECAM1","TSPAN1"
45,"NXPE4","PLAU","PSMA7","LSP1","FHL2"
46,"CDH1","FCER1G","PPDPF","C1QB","LGALS3"
47,"AKAP1","IFI30","PHGR1","RGS1","PPARG"
48,"FCGRT","C1QB","MT-ND4","COL5A2","KDM3A"
